geschlecht,rennen_reglement,race_id
m,ADAC Cyclassics,2026-wt-hamburg-cyclassics
m,Bretagne Classic - CIC,2026-wt-bretagne-classic
m,DSSK (Donostia San Sebastian Klasikoa),2026-wt-cl-sica-de-san-sebasti-n
m,Dwars door Vlaanderen - A travers la Flandre,2026-wt-dwars-door-vlaanderen
m,In Flanders Fields - From Middelkerke to Wevelgem,2026-wt-gent-wevelgem
m,Itzulia Basque Country,2026-wt-tour-of-the-basque-country
m,La Vuelta Ciclista a España,2026-wt-vuelta-a-espa-a
m,Omloop Nieuwsblad,2026-wt-omloop-het-nieuwsblad
m,Ronde Van Brugge - Tour of Bruges,2026-wt-tour-of-bruges
m,Ronde van Vlaanderen-Tour des Flandres,2026-wt-tour-of-flanders
m,Santos Tour Down Under,2026-wt-tour-down-under
m,Volta Ciclista a Catalunya,2026-wt-volta-a-catalunya
