geschlecht,anlass,stufe,platz,punkte
m,gc,gc1,1,1300
m,gc,gc1,2,1040
m,gc,gc1,3,880
m,gc,gc1,4,750
m,gc,gc1,5,620
m,gc,gc1,6,520
m,gc,gc1,7,425
m,gc,gc1,8,360
m,gc,gc1,9,295
m,gc,gc1,10,230
m,gc,gc1,11,190
m,gc,gc1,12,165
m,gc,gc1,13,140
m,gc,gc1,14,110
m,gc,gc1,15,100
m,gc,gc1,16,90
m,gc,gc1,17,85
m,gc,gc1,18,80
m,gc,gc1,19,70
m,gc,gc1,20,60
m,gc,gc1,21,50
m,gc,gc1,22,50
m,gc,gc1,23,50
m,gc,gc1,24,50
m,gc,gc1,25,50
m,gc,gc1,26,40
m,gc,gc1,27,40
m,gc,gc1,28,40
m,gc,gc1,29,40
m,gc,gc1,30,40
m,gc,gc1,31,35
m,gc,gc1,32,35
m,gc,gc1,33,35
m,gc,gc1,34,35
m,gc,gc1,35,35
m,gc,gc1,36,35
m,gc,gc1,37,35
m,gc,gc1,38,35
m,gc,gc1,39,35
m,gc,gc1,40,35
m,gc,gc1,41,25
m,gc,gc1,42,25
m,gc,gc1,43,25
m,gc,gc1,44,25
m,gc,gc1,45,25
m,gc,gc1,46,25
m,gc,gc1,47,25
m,gc,gc1,48,25
m,gc,gc1,49,25
m,gc,gc1,50,25
m,gc,gc1,51,20
m,gc,gc1,52,20
m,gc,gc1,53,20
m,gc,gc1,54,20
m,gc,gc1,55,20
m,gc,gc1,56,15
m,gc,gc1,57,15
m,gc,gc1,58,15
m,gc,gc1,59,15
m,gc,gc1,60,15
m,gc,gc2,1,1100
m,gc,gc2,2,885
m,gc,gc2,3,750
m,gc,gc2,4,600
m,gc,gc2,5,495
m,gc,gc2,6,415
m,gc,gc2,7,340
m,gc,gc2,8,285
m,gc,gc2,9,235
m,gc,gc2,10,180
m,gc,gc2,11,155
m,gc,gc2,12,130
m,gc,gc2,13,110
m,gc,gc2,14,90
m,gc,gc2,15,80
m,gc,gc2,16,75
m,gc,gc2,17,70
m,gc,gc2,18,60
m,gc,gc2,19,55
m,gc,gc2,20,50
m,gc,gc2,21,50
m,gc,gc2,22,50
m,gc,gc2,23,50
m,gc,gc2,24,50
m,gc,gc2,25,50
m,gc,gc2,26,30
m,gc,gc2,27,30
m,gc,gc2,28,30
m,gc,gc2,29,30
m,gc,gc2,30,30
m,gc,gc2,31,25
m,gc,gc2,32,25
m,gc,gc2,33,25
m,gc,gc2,34,25
m,gc,gc2,35,25
m,gc,gc2,36,25
m,gc,gc2,37,25
m,gc,gc2,38,25
m,gc,gc2,39,25
m,gc,gc2,40,25
m,gc,gc2,41,20
m,gc,gc2,42,20
m,gc,gc2,43,20
m,gc,gc2,44,20
m,gc,gc2,45,20
m,gc,gc2,46,20
m,gc,gc2,47,20
m,gc,gc2,48,20
m,gc,gc2,49,20
m,gc,gc2,50,20
m,gc,gc2,51,15
m,gc,gc2,52,15
m,gc,gc2,53,15
m,gc,gc2,54,15
m,gc,gc2,55,15
m,gc,gc2,56,10
m,gc,gc2,57,10
m,gc,gc2,58,10
m,gc,gc2,59,10
m,gc,gc2,60,10
m,gc,gc3,1,800
m,gc,gc3,2,640
m,gc,gc3,3,520
m,gc,gc3,4,440
m,gc,gc3,5,360
m,gc,gc3,6,280
m,gc,gc3,7,240
m,gc,gc3,8,200
m,gc,gc3,9,160
m,gc,gc3,10,135
m,gc,gc3,11,110
m,gc,gc3,12,95
m,gc,gc3,13,85
m,gc,gc3,14,65
m,gc,gc3,15,55
m,gc,gc3,16,50
m,gc,gc3,17,50
m,gc,gc3,18,50
m,gc,gc3,19,50
m,gc,gc3,20,50
m,gc,gc3,21,30
m,gc,gc3,22,30
m,gc,gc3,23,30
m,gc,gc3,24,30
m,gc,gc3,25,30
m,gc,gc3,26,30
m,gc,gc3,27,30
m,gc,gc3,28,30
m,gc,gc3,29,30
m,gc,gc3,30,30
m,gc,gc3,31,15
m,gc,gc3,32,15
m,gc,gc3,33,15
m,gc,gc3,34,15
m,gc,gc3,35,15
m,gc,gc3,36,15
m,gc,gc3,37,15
m,gc,gc3,38,15
m,gc,gc3,39,15
m,gc,gc3,40,15
m,gc,gc3,41,15
m,gc,gc3,42,15
m,gc,gc3,43,15
m,gc,gc3,44,15
m,gc,gc3,45,15
m,gc,gc3,46,15
m,gc,gc3,47,15
m,gc,gc3,48,15
m,gc,gc3,49,15
m,gc,gc3,50,15
m,gc,gc3,51,10
m,gc,gc3,52,10
m,gc,gc3,53,10
m,gc,gc3,54,10
m,gc,gc3,55,10
m,gc,gc3,56,5
m,gc,gc3,57,5
m,gc,gc3,58,5
m,gc,gc3,59,5
m,gc,gc3,60,5
m,gc,gc4,1,500
m,gc,gc4,2,400
m,gc,gc4,3,325
m,gc,gc4,4,275
m,gc,gc4,5,225
m,gc,gc4,6,175
m,gc,gc4,7,150
m,gc,gc4,8,125
m,gc,gc4,9,100
m,gc,gc4,10,85
m,gc,gc4,11,70
m,gc,gc4,12,60
m,gc,gc4,13,50
m,gc,gc4,14,40
m,gc,gc4,15,35
m,gc,gc4,16,30
m,gc,gc4,17,30
m,gc,gc4,18,30
m,gc,gc4,19,30
m,gc,gc4,20,30
m,gc,gc4,21,20
m,gc,gc4,22,20
m,gc,gc4,23,20
m,gc,gc4,24,20
m,gc,gc4,25,20
m,gc,gc4,26,20
m,gc,gc4,27,20
m,gc,gc4,28,20
m,gc,gc4,29,20
m,gc,gc4,30,20
m,gc,gc4,31,10
m,gc,gc4,32,10
m,gc,gc4,33,10
m,gc,gc4,34,10
m,gc,gc4,35,10
m,gc,gc4,36,10
m,gc,gc4,37,10
m,gc,gc4,38,10
m,gc,gc4,39,10
m,gc,gc4,40,10
m,gc,gc4,41,10
m,gc,gc4,42,10
m,gc,gc4,43,10
m,gc,gc4,44,10
m,gc,gc4,45,10
m,gc,gc4,46,10
m,gc,gc4,47,10
m,gc,gc4,48,10
m,gc,gc4,49,10
m,gc,gc4,50,10
m,gc,gc4,51,5
m,gc,gc4,52,5
m,gc,gc4,53,5
m,gc,gc4,54,5
m,gc,gc4,55,5
m,gc,gc4,56,3
m,gc,gc4,57,3
m,gc,gc4,58,3
m,gc,gc4,59,3
m,gc,gc4,60,3
m,gc,gc5,1,400
m,gc,gc5,2,320
m,gc,gc5,3,260
m,gc,gc5,4,220
m,gc,gc5,5,180
m,gc,gc5,6,140
m,gc,gc5,7,120
m,gc,gc5,8,100
m,gc,gc5,9,80
m,gc,gc5,10,68
m,gc,gc5,11,56
m,gc,gc5,12,48
m,gc,gc5,13,40
m,gc,gc5,14,32
m,gc,gc5,15,28
m,gc,gc5,16,24
m,gc,gc5,17,24
m,gc,gc5,18,24
m,gc,gc5,19,24
m,gc,gc5,20,24
m,gc,gc5,21,16
m,gc,gc5,22,16
m,gc,gc5,23,16
m,gc,gc5,24,16
m,gc,gc5,25,16
m,gc,gc5,26,16
m,gc,gc5,27,16
m,gc,gc5,28,16
m,gc,gc5,29,16
m,gc,gc5,30,16
m,gc,gc5,31,8
m,gc,gc5,32,8
m,gc,gc5,33,8
m,gc,gc5,34,8
m,gc,gc5,35,8
m,gc,gc5,36,8
m,gc,gc5,37,8
m,gc,gc5,38,8
m,gc,gc5,39,8
m,gc,gc5,40,8
m,gc,gc5,41,8
m,gc,gc5,42,8
m,gc,gc5,43,8
m,gc,gc5,44,8
m,gc,gc5,45,8
m,gc,gc5,46,8
m,gc,gc5,47,8
m,gc,gc5,48,8
m,gc,gc5,49,8
m,gc,gc5,50,8
m,gc,gc5,51,4
m,gc,gc5,52,4
m,gc,gc5,53,4
m,gc,gc5,54,4
m,gc,gc5,55,4
m,gc,gc5,56,2
m,gc,gc5,57,2
m,gc,gc5,58,2
m,gc,gc5,59,2
m,gc,gc5,60,2
w,gc,gc1,1,1300
w,gc,gc1,2,1040
w,gc,gc1,3,880
w,gc,gc1,4,750
w,gc,gc1,5,620
w,gc,gc1,6,520
w,gc,gc1,7,425
w,gc,gc1,8,360
w,gc,gc1,9,295
w,gc,gc1,10,230
w,gc,gc1,11,190
w,gc,gc1,12,165
w,gc,gc1,13,140
w,gc,gc1,14,110
w,gc,gc1,15,100
w,gc,gc1,16,90
w,gc,gc1,17,85
w,gc,gc1,18,80
w,gc,gc1,19,70
w,gc,gc1,20,60
w,gc,gc1,21,50
w,gc,gc1,22,50
w,gc,gc1,23,50
w,gc,gc1,24,50
w,gc,gc1,25,50
w,gc,gc1,26,40
w,gc,gc1,27,40
w,gc,gc1,28,40
w,gc,gc1,29,40
w,gc,gc1,30,40
w,gc,gc1,31,35
w,gc,gc1,32,35
w,gc,gc1,33,35
w,gc,gc1,34,35
w,gc,gc1,35,35
w,gc,gc1,36,35
w,gc,gc1,37,35
w,gc,gc1,38,35
w,gc,gc1,39,35
w,gc,gc1,40,35
w,gc,gc1,41,25
w,gc,gc1,42,25
w,gc,gc1,43,25
w,gc,gc1,44,25
w,gc,gc1,45,25
w,gc,gc1,46,25
w,gc,gc1,47,25
w,gc,gc1,48,25
w,gc,gc1,49,25
w,gc,gc1,50,25
w,gc,gc1,51,20
w,gc,gc1,52,20
w,gc,gc1,53,20
w,gc,gc1,54,20
w,gc,gc1,55,20
w,gc,gc1,56,15
w,gc,gc1,57,15
w,gc,gc1,58,15
w,gc,gc1,59,15
w,gc,gc1,60,15
w,gc,gc2,1,1100
w,gc,gc2,2,885
w,gc,gc2,3,750
w,gc,gc2,4,600
w,gc,gc2,5,495
w,gc,gc2,6,415
w,gc,gc2,7,340
w,gc,gc2,8,285
w,gc,gc2,9,235
w,gc,gc2,10,180
w,gc,gc2,11,155
w,gc,gc2,12,130
w,gc,gc2,13,110
w,gc,gc2,14,90
w,gc,gc2,15,80
w,gc,gc2,16,75
w,gc,gc2,17,70
w,gc,gc2,18,60
w,gc,gc2,19,55
w,gc,gc2,20,50
w,gc,gc2,21,50
w,gc,gc2,22,50
w,gc,gc2,23,50
w,gc,gc2,24,50
w,gc,gc2,25,50
w,gc,gc2,26,30
w,gc,gc2,27,30
w,gc,gc2,28,30
w,gc,gc2,29,30
w,gc,gc2,30,30
w,gc,gc2,31,25
w,gc,gc2,32,25
w,gc,gc2,33,25
w,gc,gc2,34,25
w,gc,gc2,35,25
w,gc,gc2,36,25
w,gc,gc2,37,25
w,gc,gc2,38,25
w,gc,gc2,39,25
w,gc,gc2,40,25
w,gc,gc2,41,20
w,gc,gc2,42,20
w,gc,gc2,43,20
w,gc,gc2,44,20
w,gc,gc2,45,20
w,gc,gc2,46,20
w,gc,gc2,47,20
w,gc,gc2,48,20
w,gc,gc2,49,20
w,gc,gc2,50,20
w,gc,gc2,51,15
w,gc,gc2,52,15
w,gc,gc2,53,15
w,gc,gc2,54,15
w,gc,gc2,55,15
w,gc,gc2,56,10
w,gc,gc2,57,10
w,gc,gc2,58,10
w,gc,gc2,59,10
w,gc,gc2,60,10
w,gc,gc3,1,800
w,gc,gc3,2,640
w,gc,gc3,3,520
w,gc,gc3,4,440
w,gc,gc3,5,360
w,gc,gc3,6,280
w,gc,gc3,7,240
w,gc,gc3,8,200
w,gc,gc3,9,160
w,gc,gc3,10,135
w,gc,gc3,11,110
w,gc,gc3,12,95
w,gc,gc3,13,85
w,gc,gc3,14,65
w,gc,gc3,15,55
w,gc,gc3,16,50
w,gc,gc3,17,50
w,gc,gc3,18,50
w,gc,gc3,19,50
w,gc,gc3,20,50
w,gc,gc3,21,30
w,gc,gc3,22,30
w,gc,gc3,23,30
w,gc,gc3,24,30
w,gc,gc3,25,30
w,gc,gc3,26,30
w,gc,gc3,27,30
w,gc,gc3,28,30
w,gc,gc3,29,30
w,gc,gc3,30,30
w,gc,gc3,31,15
w,gc,gc3,32,15
w,gc,gc3,33,15
w,gc,gc3,34,15
w,gc,gc3,35,15
w,gc,gc3,36,15
w,gc,gc3,37,15
w,gc,gc3,38,15
w,gc,gc3,39,15
w,gc,gc3,40,15
w,gc,gc3,41,15
w,gc,gc3,42,15
w,gc,gc3,43,15
w,gc,gc3,44,15
w,gc,gc3,45,15
w,gc,gc3,46,15
w,gc,gc3,47,15
w,gc,gc3,48,15
w,gc,gc3,49,15
w,gc,gc3,50,15
w,gc,gc3,51,10
w,gc,gc3,52,10
w,gc,gc3,53,10
w,gc,gc3,54,10
w,gc,gc3,55,10
w,gc,gc3,56,5
w,gc,gc3,57,5
w,gc,gc3,58,5
w,gc,gc3,59,5
w,gc,gc3,60,5
w,gc,gc4,1,500
